stage,treatment,date
stage1,"['Antibacterial soap', 'Topical antibiotics', 'Tea tree oil-based products']",2024-03-02 15:47:09
stage2,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-06 13:50:15
stage3,"['Emollient-rich moisturizers', 'Topical corticosteroids', 'Salicylic acid-based products']",2024-03-15 17:23:38
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:38:01
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:42:22
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:47:18
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:50:41
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:51:41
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:52:41
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:55:37
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:59:43
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-16 00:03:22
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-16 00:05:27
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-16 00:08:25
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-16 00:20:32
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-16 00:21:41
